Disaster Group,Disaster Subgroup,Disaster Type,ISO,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Total Damages ('000 US$),Magnitude,Magnitude Scale
Natural,Geophysical,Earthquake,MMR,20.687,99.822,2011,3.0,24.0,2011,3.0,24.0,74.0,125.0,18000.0,3152.0,21277.0,3600.0,7.0,Richter
Natural,Geophysical,Earthquake,SRB,43.76,20.73,2010,11.0,3.0,2010,11.0,3.0,2.0,120.0,25440.0,1470.0,27030.0,132260.0,6.0,Richter
Natural,Geophysical,Earthquake,TUR,38.721,43.508,2011,10.0,23.0,2011,10.0,23.0,604.0,4152.0,6786.0,22000.0,32938.0,1500000.0,7.0,Richter
Natural,Geophysical,Earthquake,MEX,16.493,-98.231,2012,3.0,20.0,2012,3.0,20.0,2.0,11.0,45000.0,4000.0,49011.0,320000.0,7.0,Richter
Natural,Hydrological,Flood,VCT,13.9188,-60.99,2013,12.0,23.0,2013,12.0,25.0,12.0,37.0,16885.0,500.0,17422.0,108000.0,830.0,Km2
Natural,Hydrological,Flood,VNM,15.58,107.7,2013,11.0,14.0,2013,11.0,20.0,47.0,66.0,2127865.0,2070.0,2130001.0,72000.0,48985.0,Km2
Natural,Geophysical,Earthquake,CHN,30.3398,101.7374,2014,11.0,22.0,2014,11.0,22.0,5.0,65.0,82200.0,90.0,82355.0,50000.0,6.0,Richter
Natural,Geophysical,Earthquake,JPN,32.791,130.75,2016,4.0,16.0,2016,4.0,16.0,49.0,1684.0,272763.0,23985.0,298432.0,20000000.0,7.0,Richter
Natural,Geophysical,Earthquake,CHN,33.193,103.855,2017,8.0,8.0,2017,8.0,8.0,29.0,525.0,217500.0,300.0,218325.0,500000.0,7.0,Richter
Natural,Geophysical,Earthquake,CHN,29.498,104.632,2019,2.0,25.0,2019,2.0,25.0,2.0,12.0,32733.0,27.0,32772.0,2000.0,5.0,Richter
Natural,Geophysical,Earthquake,IDN,-8.287,116.452,2018,8.0,5.0,2018,8.0,5.0,564.0,1584.0,445343.0,70000.0,516927.0,790000.0,7.0,Richter
Natural,Hydrological,Flood,VNM,16.004,107.68,2016,10.0,9.0,2016,10.0,16.0,35.0,30.0,659390.0,195.0,659615.0,104280.0,63642.0,Km2
Natural,Hydrological,Flood,TWN,24.302,121.216,2017,5.0,31.0,2017,6.0,5.0,5.0,35.0,4000.0,39.0,4074.0,28100.0,16446.0,Km2
Natural,Geophysical,Earthquake,PRI,17.935,-66.883,2020,1.0,7.0,2020,1.0,7.0,4.0,8.0,4170.0,900.0,5078.0,800000.0,6.0,Richter
Natural,Geophysical,Earthquake,HRV,45.897,15.966,2020,3.0,22.0,2020,3.0,22.0,1.0,27.0,60000.0,18915.0,78942.0,6800000.0,5.0,Richter
Natural,Geophysical,Earthquake,PHL,12.021,124.123,2020,8.0,18.0,2020,8.0,18.0,1.0,20.0,4255.0,705.0,4980.0,2500.0,7.0,Richter
Natural,Geophysical,Earthquake,JPN,37.745,141.749,2021,2.0,13.0,2021,2.0,13.0,1.0,185.0,7647.0,60.0,7892.0,7500000.0,7.0,Richter
